extracted_skill,top1_esco_label,top1_esco_uri,cosine_similarity,sim_band,is_match,annotator_notes
cryptography characteristics,implement cryptographic constructs,http://data.europa.eu/esco/skill/f0163b63-6794-4eb7-b17b-f91d11b2602d,0.6170788407325745,0.60-0.65,0,gpt-4o-mini
texts socio,draw up professional texts,http://data.europa.eu/esco/skill/e83ec793-3fbc-42e0-9729-d4bd92d454b3,0.6328350901603699,0.60-0.65,0,gpt-4o-mini
python bash,Python (computer programming),http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,0.6498657464981079,0.60-0.65,0,gpt-4o-mini
solutionsact strategic advisor,apply strategic thinking,http://data.europa.eu/esco/skill/6c870993-9341-438b-91c0-c7fe4f96d8f5,0.6348944902420044,0.60-0.65,0,gpt-4o-mini
technologies enabling,computer technology,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,0.6106614470481873,0.60-0.65,0,gpt-4o-mini
developers web designers,web programming,http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,0.6451267004013062,0.60-0.65,0,gpt-4o-mini
tracking tools e.g,monitor surveillance equipment,http://data.europa.eu/esco/skill/65c4ee04-319d-417c-8f45-8594408d0d24,0.6433781981468201,0.60-0.65,0,gpt-4o-mini
testing quality initiatives,quality assurance procedures,http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3,0.611070990562439,0.60-0.65,0,gpt-4o-mini
course starts brief,follow a brief,http://data.europa.eu/esco/skill/25f4c955-e429-44a6-98a7-7d8cb3b6b690,0.6130365133285522,0.60-0.65,0,gpt-4o-mini
quality infrastructure tooling,quality assurance methodologies,http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,0.6320875287055969,0.60-0.65,0,gpt-4o-mini
literary turkish reproduce,write Turkish,http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,0.6439981460571289,0.60-0.65,0,gpt-4o-mini
local reporting,follow reporting procedures,http://data.europa.eu/esco/skill/9bcfccac-8920-4024-9aef-a06f8c035063,0.6361117362976074,0.60-0.65,0,gpt-4o-mini
improvements codebase processes,identify process improvements,http://data.europa.eu/esco/skill/958b8802-ec3e-4813-97f7-6c8f48610dbd,0.6467220783233643,0.60-0.65,0,gpt-4o-mini
looking engineer,mechanical engineering,http://data.europa.eu/esco/skill/9c071f1d-eac3-449d-b004-c14775b5a3b9,0.6221500635147095,0.60-0.65,0,gpt-4o-mini
tools api,use traditional toolbox tools,http://data.europa.eu/esco/skill/b1338cfb-930c-4bcb-b77a-1034d76ddb0e,0.6391327977180481,0.60-0.65,0,gpt-4o-mini
law firms professional,corporate law,http://data.europa.eu/esco/skill/d77d7685-04fb-43a4-a1ac-09a10811f646,0.6170551776885986,0.60-0.65,0,gpt-4o-mini
conjunction marketing team,collaborate in the development of marketing strategies,http://data.europa.eu/esco/skill/b679ef35-eebf-4da8-8e45-fee6841c3214,0.621513307094574,0.60-0.65,0,gpt-4o-mini
modern applied cryptography,implement cryptographic constructs,http://data.europa.eu/esco/skill/f0163b63-6794-4eb7-b17b-f91d11b2602d,0.6120996475219727,0.60-0.65,1,gpt-4o-mini
marketplaces,market participants,http://data.europa.eu/esco/skill/791e2eea-3380-4aed-b996-4bcabbe88591,0.6246651411056519,0.60-0.65,0,gpt-4o-mini
rules govern message,disseminate messages to people,http://data.europa.eu/esco/skill/81dc035c-921b-4fea-a453-94538e86097c,0.6494517922401428,0.60-0.65,0,gpt-4o-mini
suitable contractors database,audit contractors,http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,0.6308001279830933,0.60-0.65,0,gpt-4o-mini
transaction concurrency control,use concurrent programming,http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,0.6389203071594238,0.60-0.65,0,gpt-4o-mini
propulsion,operate ship propulsion system,http://data.europa.eu/esco/skill/f774cc69-f0cf-4767-bf13-9b16dc7f7c07,0.6264908909797668,0.60-0.65,0,gpt-4o-mini
supervised individual employing,supervision of persons,http://data.europa.eu/esco/skill/47ac9325-b072-4e37-8e40-e6ffed03e851,0.6134346723556519,0.60-0.65,1,gpt-4o-mini
infrastructure powers,prevent damage to utility infrastructure,http://data.europa.eu/esco/skill/63395522-32f0-46c4-851d-69c2d3800a8a,0.6053935289382935,0.60-0.65,0,gpt-4o-mini
terraform ansible similar,Ansible,http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,0.6839673519134521,0.65-0.70,0,gpt-4o-mini
unconstrained constrained,theory of constraints,http://data.europa.eu/esco/skill/2abb7341-11a9-4799-9aef-7f2a83de0358,0.6842620372772217,0.65-0.70,0,gpt-4o-mini
mobile app,iOS,http://data.europa.eu/esco/skill/ce26e71f-2d47-474e-89b6-7920931ac4fc,0.6593164801597595,0.65-0.70,0,gpt-4o-mini
chains applications,types of chain,http://data.europa.eu/esco/skill/c4b3bbb4-a4f7-467f-8e91-a545d0224dce,0.6756229996681213,0.65-0.70,0,gpt-4o-mini
reporting tools excel,develop reporting software,http://data.europa.eu/esco/skill/9d2f77af-4307-4ac5-bc50-a9980cec7e83,0.690411388874054,0.65-0.70,0,gpt-4o-mini
testing agile scrum,Agile development,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,0.6893628239631653,0.65-0.70,1,gpt-4o-mini
prototyping tools figma,Prototyping development,http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c,0.6672211289405823,0.65-0.70,1,gpt-4o-mini
timely delivery high,deliver outstanding service,http://data.europa.eu/esco/skill/7e5786f8-1174-4f75-97e3-cfecfd95d797,0.6786602139472961,0.65-0.70,0,gpt-4o-mini
science software engineering,computer engineering,http://data.europa.eu/esco/skill/89f6560b-2194-45c9-9ece-d33049a73eef,0.6733013987541199,0.65-0.70,0,gpt-4o-mini
assessing ecosystem health,ecosystem management,http://data.europa.eu/esco/skill/270c4de9-97f9-4a7a-95d1-63670f1ec3bc,0.6547576189041138,0.65-0.70,0,gpt-4o-mini
web hosting ecosystem,manage website,http://data.europa.eu/esco/skill/d04ee340-5378-4601-8181-19da6d5cbfe0,0.6509310007095337,0.65-0.70,0,gpt-4o-mini
analyzing data course,analyse curriculum,http://data.europa.eu/esco/skill/d086b37f-8167-4051-b11b-cd4de7b0c152,0.6593536734580994,0.65-0.70,0,gpt-4o-mini
preferably azure devops,DevOps,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,0.6881155371665955,0.65-0.70,1,gpt-4o-mini
courses dedicated algorithms,algorithms,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,0.6674759984016418,0.65-0.70,1,gpt-4o-mini
conservation laws,examine conservation issues,http://data.europa.eu/esco/skill/b55f1863-706b-4587-a756-5100c3c7ce5c,0.668944776058197,0.65-0.70,0,gpt-4o-mini
analytics lead,marketing analytics,http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,0.670157790184021,0.65-0.70,0,gpt-4o-mini
practical applications game,operate games,http://data.europa.eu/esco/skill/c489caef-57b8-4e5c-b417-4e505a9b71c9,0.6512879729270935,0.65-0.70,0,gpt-4o-mini
deployment cloud native,deploy cloud resource,http://data.europa.eu/esco/skill/6195c5f7-a4fb-425d-a3dd-c4467c4471a3,0.6785567998886108,0.65-0.70,1,gpt-4o-mini
profiling perform,analyse own performance,http://data.europa.eu/esco/skill/a7e78a0b-aec1-45fb-8f86-d1b4ab1f9c69,0.6674613356590271,0.65-0.70,0,gpt-4o-mini
mathematical modeling hours,mathematical modelling,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,0.6632953882217407,0.65-0.70,1,gpt-4o-mini
innovative software,industrial software,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,0.6637927293777466,0.65-0.70,0,gpt-4o-mini
cultural phenomenon,cultural geography,http://data.europa.eu/esco/skill/7d594881-a9b4-4d4c-8a8b-75082c136b78,0.6620182394981384,0.65-0.70,0,gpt-4o-mini
competition management recovery,develop competition policies,http://data.europa.eu/esco/skill/11e7b341-ecd9-445c-b1fe-ba220b706b21,0.6746438145637512,0.65-0.70,0,gpt-4o-mini
conduct code,practise veterinary professional codes of conduct,http://data.europa.eu/esco/skill/3e42adbb-8089-49b7-bdfe-b9cd7247b26b,0.6535359621047974,0.65-0.70,0,gpt-4o-mini
protected,protect game,http://data.europa.eu/esco/skill/b4bd4b00-be51-4631-b202-dcb0e33c0899,0.6690340042114258,0.65-0.70,0,gpt-4o-mini
probabilistic,probability theory,http://data.europa.eu/esco/skill/b758675a-b03b-4e4b-897c-57ca14b1a3d0,0.6794807314872742,0.65-0.70,1,gpt-4o-mini
platform presence,construct working platform,http://data.europa.eu/esco/skill/ad6cc4f7-0735-4924-a8fa-271d147e48d2,0.666871964931488,0.65-0.70,0,gpt-4o-mini
frameworks entity framework,software frameworks,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,0.6521519422531128,0.65-0.70,1,gpt-4o-mini
necessary automated processing,operate automated process control,http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,0.6709285974502563,0.65-0.70,0,gpt-4o-mini
expertise high capacity,category specific expertise,http://data.europa.eu/esco/skill/d9a9cb71-a62e-4800-a518-cfb61f8b15cd,0.6714279651641846,0.65-0.70,0,gpt-4o-mini
broadcasts install custom,prepare broadcasts,http://data.europa.eu/esco/skill/af59d780-71ca-4f3b-b343-3dacd17546b8,0.6971659660339355,0.65-0.70,0,gpt-4o-mini
theories possibilities,psychological theories,http://data.europa.eu/esco/skill/eda8a126-08bf-4fb1-8442-fa9febabb75f,0.6546168923377991,0.65-0.70,0,gpt-4o-mini
students characteristics machine,assess students,http://data.europa.eu/esco/skill/6fe019dd-027f-45f3-b19c-d27f7ae00980,0.667646050453186,0.65-0.70,0,gpt-4o-mini
translate ui ux,translate tags,http://data.europa.eu/esco/skill/5be704bc-e270-448c-93b4-fad465cf05b7,0.661899983882904,0.65-0.70,0,gpt-4o-mini
analytical reports,report analysis results,http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817,0.6797575950622559,0.65-0.70,1,gpt-4o-mini
data acquisition analysis,perform data analysis,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,0.691994845867157,0.65-0.70,1,gpt-4o-mini
experts elevate quality,manage quality,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,0.6759613156318665,0.65-0.70,0,gpt-4o-mini
datasets machine,create data sets,http://data.europa.eu/esco/skill/906323f4-00c4-4c3b-ab5a-8af77be3456e,0.6710671782493591,0.65-0.70,0,gpt-4o-mini
religion historical manifestations,history of theology,http://data.europa.eu/esco/skill/0e31da4d-591b-46c6-b89f-ff1812c1f67b,0.6661003232002258,0.65-0.70,0,gpt-4o-mini
recognize logical,logic,http://data.europa.eu/esco/skill/294cf13e-4fdf-4cb8-bb6b-31b9da7f4819,0.6625668406486511,0.65-0.70,1,gpt-4o-mini
gaming experiences job,apply gaming psychology,http://data.europa.eu/esco/skill/6f2a4a5c-2f6e-49ab-8441-cd600d1f20ae,0.6918417811393738,0.65-0.70,0,gpt-4o-mini
data marts etl,data warehouse,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,0.6882977485656738,0.65-0.70,0,gpt-4o-mini
maintainable efficient,advise on efficiency improvements,http://data.europa.eu/esco/skill/8bc75dce-beba-40f9-93fc-66c9708ed74b,0.6522254347801208,0.65-0.70,0,gpt-4o-mini
visual identity brands,define brand identity,http://data.europa.eu/esco/skill/754690ad-6207-4e1c-9df7-9a2b58afa587,0.7008219361305237,0.70-0.75,0,gpt-4o-mini
visualize data course,data visualisation software,http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1,0.7054518461227417,0.70-0.75,0,gpt-4o-mini
testing agile,Agile development,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,0.7385225296020508,0.70-0.75,0,gpt-4o-mini
digital products,digital systems,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb,0.7348605990409851,0.70-0.75,0,gpt-4o-mini
linux operating,operating systems,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,0.7348921298980713,0.70-0.75,1,gpt-4o-mini
product videos,watch video and motion picture production products,http://data.europa.eu/esco/skill/9a97c406-e9c3-4a22-8d16-74bb2fae96b5,0.7360141277313232,0.70-0.75,0,gpt-4o-mini
angular 18 typescript,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.7333301901817322,0.70-0.75,0,gpt-4o-mini
implementation aspects quantum,quantum computing,http://data.europa.eu/esco/skill/e79a3803-dd53-46b0-906b-13e6d46ef687,0.7021307945251465,0.70-0.75,0,gpt-4o-mini
cloud postgresql,PostgreSQL,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,0.7151076793670654,0.70-0.75,1,gpt-4o-mini
frameworks solid,software frameworks,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,0.7306450009346008,0.70-0.75,0,gpt-4o-mini
mentoring growing team,provide mentorship,http://data.europa.eu/esco/skill/28722c99-68b7-4b7b-808f-53f343299935,0.7225557565689087,0.70-0.75,1,gpt-4o-mini
email marketing team,execute email marketing,http://data.europa.eu/esco/skill/36931cb7-ca3f-4be1-8428-f38eefc8e1ed,0.7265079617500305,0.70-0.75,0,gpt-4o-mini
audit advisory business,prepare audit activities,http://data.europa.eu/esco/skill/095fdace-1cc3-4e80-b37b-268fe297904a,0.7201124429702759,0.70-0.75,0,gpt-4o-mini
infrastructure automation,building automation,http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,0.7146827578544617,0.70-0.75,0,gpt-4o-mini
license,obtain relevant licenses,http://data.europa.eu/esco/skill/4a112f96-72c1-47f3-aa61-4b34ea415701,0.7239856719970703,0.70-0.75,1,gpt-4o-mini
analytical applied,analytical chemistry,http://data.europa.eu/esco/skill/1b61166d-0495-4f16-aff0-f564d3a8afb3,0.7456891536712646,0.70-0.75,0,gpt-4o-mini
platform capabilities establish,construct working platform,http://data.europa.eu/esco/skill/ad6cc4f7-0735-4924-a8fa-271d147e48d2,0.7055875062942505,0.70-0.75,0,gpt-4o-mini
crypto,cryptocurrency,http://data.europa.eu/esco/skill/2174c1b0-e13c-4850-8e4d-2bc6183018bf,0.7479398846626282,0.70-0.75,1,gpt-4o-mini
integrated circuit modeling,design integrated circuits,http://data.europa.eu/esco/skill/6d12ac9b-5ec0-49b9-bd70-5a19352585cb,0.7341036796569824,0.70-0.75,0,gpt-4o-mini
cam,CAM software,http://data.europa.eu/esco/skill/27065048-bca8-4b0a-891a-b192b9ceadfd,0.7336222529411316,0.70-0.75,0,gpt-4o-mini
expert areas expert,training  subject expertise,http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091,0.705538272857666,0.70-0.75,0,gpt-4o-mini
computing cloud computing,cloud technologies,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,0.7192507982254028,0.70-0.75,1,gpt-4o-mini
player motivations,motivate in sports,http://data.europa.eu/esco/skill/ece81686-331c-4381-bf3f-5ea610d47a7f,0.7467114329338074,0.70-0.75,0,gpt-4o-mini
stages,organise stage,http://data.europa.eu/esco/skill/3ecff5db-ded6-4263-9db5-6601090ba299,0.7251423597335815,0.70-0.75,0,gpt-4o-mini
compilers operating systems,operating systems,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,0.7206814289093018,0.70-0.75,0,gpt-4o-mini
leads engineering,lead technology development of an organisation,http://data.europa.eu/esco/skill/b91535d7-1265-455d-a565-901e2eafa883,0.7092443108558655,0.70-0.75,1,gpt-4o-mini
operation software perspective,operations management,http://data.europa.eu/esco/skill/2d140a3a-45a6-4248-80dd-b3760ebc9cc6,0.7205758094787598,0.70-0.75,0,gpt-4o-mini
marketing performance,evaluate marketing content,http://data.europa.eu/esco/skill/3d96dc4c-d812-4015-b1f9-8307c086c595,0.7100273370742798,0.70-0.75,0,gpt-4o-mini
cloud native architectures,design cloud architecture,http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6,0.7420607209205627,0.70-0.75,1,gpt-4o-mini
improve testing processes,manage system testing,http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db,0.702829122543335,0.70-0.75,0,gpt-4o-mini
serve finance contact,offer financial services,http://data.europa.eu/esco/skill/e3c7bd87-edc1-4d9a-a3d5-36415de1aac6,0.7119287848472595,0.70-0.75,1,gpt-4o-mini
typescript mobile development,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.7243025302886963,0.70-0.75,0,gpt-4o-mini
strategic operational,implement strategic management,http://data.europa.eu/esco/skill/953445c0-4770-4be0-91cf-270a64c0e297,0.7495478391647339,0.70-0.75,0,gpt-4o-mini
sales managers,manage sales teams,http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265,0.7023584842681885,0.70-0.75,0,gpt-4o-mini
