program,course_code,title,description,credits,prerequisites,corequisites,university,program_name,degree_type
BSCS,CS251,Machine Learning,"This course introduces the fundamental concepts and methods of machine learning, focusing on how computers can learn from data to uncover hidden insights without explicit programming. Topics include supervised learning, unsupervised learning, and best practices in machine learning, with numerous examples from real-world applications. The course includes instructor-led discussions and problem sets to reinforce the material.",3.0,"CS104, CS108",,American University of Armenia,Computer Science,Bachelor
BSCS,CS252,Data Science,"This course aims to introduce students to the world of data science. Students will gain the skills that are transforming entire industries from healthcare to internet marketing and beyond. In this course, students will gain a hands-on introduction to using R programming language for reproducible data analysis. Students will define the data science process, including data acquisition, data munging, exploratory data analysis, visualization and modeling real world data. The course will include using R and R packages tools for analysis of both structured and unstructured data sources, as well as writing reproducible data analysis reports with R Markdown and creating personalized interactive graphics applications. Three hours of instructor-led class time per week including discussions and problem sets.",3.0,CS121,,American University of Armenia,Computer Science,Bachelor
BSCS,CS260,Image Processing,"This course is a practical introduction to digital image processing. It covers the key methods and connects the mathematical foundations with programming implementation. Algorithmic descriptions of several approaches may include: image analysis, image representation and storage, image de-noising and restoration, compression techniques, two-dimensional discrete Fourier transform, spatial and frequency domain, linear and, optionally, nonlinear image filtering, edge detection, image segmentation and the basics of digital video processing. Instructor-led class time is supported by practical exercises and problem sets.",3.0,"CS104, CS112, CS211 OR DS115, CS121 OR DS115",,American University of Armenia,Computer Science,Bachelor
BSCS,CS290,Special Topics in Applied Computer Science,This course explores topics in applied computer science with emphasis on current technologies and approaches. Topics to be announced prior to course registration. Instructor-led class time.,3.0,CS121,,American University of Armenia,Computer Science,Bachelor
BSCS,CS296,Capstone,"This course provides computer science majors the opportunity to develop the knowledge that they have obtained from across the curriculum. Students are encouraged to work in teams, and can choose either a theory or applied project. Students will select a topic from their respective tracks and work on the course-long project under the mentorship of the advising instructor. Students will discuss each other’s projects at scheduled weekly meetings led by the instructor. At the end of the course the projects will be presented and demonstrated orally and the project reports will be submitted in writing. Students are required to formulate and critically assess problems and sub-tasks including identifying sources and conducting independent research. Students should likewise be able to demonstrate expertise in core domains and in contemporary computing technologies. Students are required to produce technical documentation with references and demonstrate the capacity to discover and learn new material through independent research. Students are also required to draw upon critical thinking skills in a broad context and work as part of a team. Students choosing applied projects participate in the identification of a problem, develop a project proposal outlining an approach to the problem’s solution, implement the proposed solution, and test or evaluate the result. Students choosing a theory project conduct original research (e.g., develop a new algorithm) and evaluate its strengths and limitations. Regardless of the choice of project, students document their work in the form of written reports and oral presentations.",3.0,,,American University of Armenia,Computer Science,Bachelor
BSCS,CS299,Independent Study,,1.0,,,American University of Armenia,Computer Science,Bachelor
General Education,CSE111,The Scientific Method and Critical Thinking,"Science and technology proficiency is indispensable for functioning in modern societies. We are overwhelmed with instant information in all sensory formats and we must be able to discriminate between facts and fallacies, while recognizing our own underlying biases. In this course, the student is introduced to the basic tenets of the scientific method, critical thinking and illustrated real world examples and case studies, with several general topics examined in depth. Such topics includes: pharmaceutical studies, computer performance claims, climate change, emerging technologies, marketing and advertisement, international relations, political and partisan hyperbole.",3.0,,,American University of Armenia,General Education,General
General Education,CSE112,Mathematical Thinking,"Students will explore and develop quantitative analysis and numeracy skills, rooted in logic-based intuition, that are essential to succeed regardless of profession. In this course, students will expand critical thinking skills in the context of understanding and analyzing data and presenting findings/conclusions through the practical application of mathematical theories, principles and techniques rooted in algebra, calculus, probability and statistics in subjects such as demographics, finance, medicine, politics and economics. Through the use of advanced Microsoft Excel functions and formulas, students will expand problem-solving skills. Students will prepare oral and written reports that utilize concepts of the effective visual display of quantitative information to optimize how to summarize and explain mathematical solutions that emphasize clear and effective communication. Instructor-led discussion, along with reading, written, and practical assignments.Not open to CS, DS, ES students.",3.0,,,American University of Armenia,General Education,General
General Education,CSE120,Introduction to the World of Programming,This course covers the topics related to the role of computers in our,3.0,,,American University of Armenia,General Education,General
General Education,CSE131,Industrial Technologies,"The course will explore several industrial technologies, with an aim for students to familiarize themselves with both traditional as well as modern innovative business practices. Examples of these industrial technologies may include metallurgy, construction industry, chemical production, lighting technologies, semiconductor manufacturing and other cutting edge “technologies of tomorrow.” While no prior experience or knowledge of these technologies is expected, students will gain firsthand exposure to real production processes and appreciation of product lifecycles including environmental and technological. Instructor led lecture and discussions; assessment may include problem sets, essays, exams, and projects.",3.0,,,American University of Armenia,General Education,General
General Education,CSE141,Understanding Data,"In this course students will explore the fundamental concepts of data, starting with the basics of descriptive statistics and ending with data visualization. Students will learn how data is used and misused, discover patterns in data, and present data to make actionable decisions. The models and methods may be applied in different fields such as business, social sciences, health care, sports, etc. While software will be used, no prior knowledge in programming or statistics is necessary for the course. [not open to DS students]",3.0,,,American University of Armenia,General Education,General
General Education,CSE150,Cybersecurity and Society,"“Cybersecurity and Society” is a comprehensive interdisciplinary course focusing on the link between cyberspace and the social,",3.0,,,American University of Armenia,General Education,General
General Education,CSE151,Introduction to Energy Sources,"Energy drives the human civilization, and any economic growth or poverty alleviation directly involves use of energy resources. This course serves as an introduction to various sources of energy and the mechanisms to harness and convert them to more useful types of energy. Fossil fueled, solar, hydro and nuclear sources and some of their effects on the environment and safety issues will be discussed. This course fulfills general education requirements of the American University of Armenia. There are no prerequisites for this course beyond basic mathematical skills. Three hours of instructor-led class time per week.",3.0,,,American University of Armenia,General Education,General
General Education,CSE162,Introduction to Bioscience,"This course introduces students to important concepts, techniques and applications of bioscience, and explores its impact on research, business and society. Students will study basic concepts of molecular and cellular biology, biochemistry, molecular genetics, computational biology and biotechnology. Some important applications of molecular and cellular biology in medicine and industry – such as molecular diagnostics of diseases, stem cell and transplantation, drug design and genetically modified foods – will be introduced. Students will also discuss the political, ethical, and legal issues accompanying these topics and their current and future impact on society. Three hours of instructorled class time per week.",3.0,,,American University of Armenia,General Education,General
General Education,CSE170,Chemistry in Everyday Life,"The course highlights and discusses the practical chemical world of human beings and the chemical nature of everyday processes. The role of chemistry in necessities of daily life such as the chemistry of life, agriculture, food, housing, healthcare, clothing, household goods (e.g., toys, furniture, etc.), transport and communications will be discussed. In addition the course will introduce various applications of chemistry in the area of arts, crime and law enforcement, consumer products, cosmetics and warfare. As a science-based, quantitative course, the course will teach students the methods of scientific inquiry, including experimental design and chemical analytical methods, data generation and analysis, and presentation of the final results. Instructor-led discussion, along with reading, written, and practical assignments.Not open to ESS, ES majors or to DS majors in the Bioinformatics track",3.0,,,American University of Armenia,General Education,General
General Education,CSE171,Conceptual Physics,"This course will explore the basic concepts in physics and physical processes. The conceptual viewpoint taken in the course will focus more on the physical description of the processes and phenomena rather than the detailed mathematical equations that govern them. The course will cover topics in mechanics of moving bodies, heat transfer, propagation of sound, properties of light, electricity and magnetism with special emphasis on everyday experience and practical illustrations taken from real life, e.g. art, music, sports, the home. For each of the processes covered in the course, a brief historical perspective will be given, followed by a description of its physical principles, and finally the basic equations that describe it mathematically. Students will be exposed to real-life applications of the theories discussed in the classroom. Three hours of instructor-led class time per week. Not open to CS, DS, ES students.",3.0,,,American University of Armenia,General Education,General
General Education,CSE181,Creativity and Technological Innovation,"This course introduces students to creativity and its elements, the creative mind and thinking, techniques, concepts and applications leading to technological innovations. Lectures will provide examples of creative thinking and technological innovations from real life creators and technology innovators whose work is well known. Students will work in groups. Each group will create a technological project attempting to solve a real life need based on the knowledge gained and discussed during the semester. Students will be introduced to various problem-solving techniques. Upon completion of this course, students will be able to think creatively and they will be familiar with the process of technological innovation and invention. Three hours of instruction-led class time per week.",3.0,,,American University of Armenia,General Education,General
General Education,CSE190,Engineering for non-Engineers,"This course aims to give students an insight about basic principles of engineering and its different sub-disciplines. The course will explore the role engineering has played in shaping society today through its various advancements in different fields, e.g. manufacturing, the energy sector, urban development and materials engineering. Student evaluation will be based on individual or group projects, research essays and written examinations. Instructor-led class time.Not open to ES students.",3.0,,,American University of Armenia,General Education,General
General Education,CSE210,Historical Development of Mathematical Ideas,"This course will provide an exploration into the history, birth and development of mathematical ideas, problems and people behind them. A variety of topics will be covered, such as: infinity and paradoxes; numbers and set theory; algebraic equations and algebra; limits and calculus; shapes, symmetry and geometry; gambling, uncertainty and probability; physics and differential equations; choice and game theory; data analysis and statistics. Students are required to complete problem sets and quizzes, and to complete a group project, as well to conduct collaborative research. Instructor-led discussion, along with reading, written, and practical assignments.",3.0,Sophomore level required,,American University of Armenia,General Education,General
General Education,CSE220,Tomorrow’s Technologies,"What is technology? Why it is so crucial to constantly improve or develop new theories based on observation and apply scientific methods toward the creation of innovative products. How are scientific theories developed? Regarding the creation process, what is the role of engineers, of society and of government? In this course students will deepen their understanding of design and development of cutting-edge interdisciplinary technologies, such as quantum computers, organic displays, and artificially-grown materials. Applications of these new technologies are poised to revolutionize industries such as health care, energy use, and consumer goods. Instructor-led discussion, along with reading, written, and practical assignments, projects, and exams.",3.0,Sophomore level required,,American University of Armenia,General Education,General
General Education,CSE221,Nanotechnology: Science and Application,"Nanotechnology: Science and Application is a multidisciplinary course which presents an overview of the main aspects of the emerging field of Nanotechnology. Students will become acquainted with a set of disciplines which form the scientific basis upon which Nanotechnology research and applications are developing. Students will also gain familiarity with examples of nanotechnology applications in evolved or emerging industries, such as agriculture, consumer goods, aerospace, electronics, etc. The course covers basic principles from the fields of physics, chemistry, and engineering to enable students to implement a synthesizing project. There are no prerequisites other than high-school level mathematics and physical/natural science. Instructor led lecture and discussions; assessment may include problem sets, essays, exams, and projects.",3.0,Sophomore level required,,American University of Armenia,General Education,General
General Education,CSE230,Music Technology,"The course investigates properties of the rudimentary element of music – sound, by exploring musical acoustics, psychoacoustics, analog and digital audio technologies such as electroacoustics and innovative designs of audio transducers (microphones, speakers, headsets, earbuds, binaural systems), acoustical properties for musical reproduction spaces (from recording studios to concert halls and immersive audio setups), in addition to presenting digital audio workstations for audio manipulation and multimedia content creation (including commercials, films, gaming, VR, etc). Instructor led discussions and lectures, assessment by projects, homework, and exams.",3.0,Sophomore level required,,American University of Armenia,General Education,General
